RAWX,RAWY,CCDNR,REV1,REV2
12,175,11,0,10000
12,176,11,0,10000
12,177,11,0,10000
12,178,11,0,10000
12,179,11,0,10000
12,180,11,0,10000
12,181,11,0,10000
12,182,11,0,10000
12,183,11,0,10000
12,184,11,0,10000
12,185,11,0,10000
12,186,11,0,10000
12,187,11,0,10000
12,188,11,0,10000
12,189,11,0,10000
12,190,11,0,10000
12,191,11,0,10000
12,192,11,0,10000
12,193,11,0,10000
12,194,11,0,10000
12,195,11,0,10000
12,196,11,0,10000
12,197,11,0,10000
12,198,11,0,10000
12,199,11,0,10000
12,200,11,0,10000
12,201,11,0,10000
37,160,11,1926,10000
50,198,11,0,10000
36,66,12,0,10000
18,136,12,3175,10000
44,138,12,0,10000
44,139,12,0,10000
44,140,12,0,10000
44,141,12,0,10000
44,142,12,0,10000
44,143,12,0,10000
44,144,12,0,10000
44,145,12,0,10000
44,146,12,0,10000
44,147,12,0,10000
44,148,12,0,10000
44,149,12,0,10000
44,150,12,0,10000
44,151,12,0,10000
44,152,12,0,10000
44,153,12,0,10000
44,154,12,0,10000
44,155,12,0,10000
44,156,12,0,10000
44,157,12,0,10000
44,158,12,0,10000
44,159,12,0,10000
44,160,12,0,10000
44,161,12,0,10000
44,162,12,0,10000
44,163,12,0,10000
44,164,12,0,10000
44,165,12,0,10000
44,166,12,0,10000
44,167,12,0,10000
44,168,12,0,10000
44,169,12,0,10000
44,170,12,0,10000
44,171,12,0,10000
44,172,12,0,10000
44,173,12,0,10000
44,174,12,0,10000
44,175,12,0,10000
44,176,12,0,10000
44,177,12,0,10000
44,178,12,0,10000
44,179,12,0,10000
44,180,12,0,10000
44,181,12,0,10000
44,182,12,0,10000
44,183,12,0,10000
44,184,12,0,10000
44,185,12,0,10000
44,186,12,0,10000
44,187,12,0,10000
44,188,12,0,10000
44,189,12,0,10000
44,190,12,0,10000
44,191,12,0,10000
44,192,12,0,10000
44,193,12,0,10000
44,194,12,0,10000
44,195,12,0,10000
44,196,12,0,10000
44,197,12,0,10000
44,198,12,0,10000
44,199,12,0,10000
44,200,12,0,10000
44,201,12,0,10000
22,140,12,2700,10000
49,142,12,777,10000
49,143,12,777,10000
49,144,12,777,10000
49,145,12,777,10000
49,146,12,777,10000
49,147,12,777,10000
49,148,12,777,10000
49,149,12,777,10000
49,150,12,777,10000
49,151,12,777,10000
49,152,12,777,10000
49,153,12,777,10000
49,154,12,777,10000
49,155,12,777,10000
49,156,12,777,10000
49,157,12,777,10000
49,158,12,777,10000
49,159,12,777,10000
49,160,12,777,10000
49,161,12,777,10000
49,162,12,777,10000
49,163,12,777,10000
49,164,12,777,10000
49,165,12,777,10000
49,166,12,777,10000
49,167,12,777,10000
49,168,12,777,10000
49,169,12,777,10000
49,170,12,777,10000
49,171,12,777,10000
49,172,12,777,10000
49,173,12,777,10000
49,174,12,777,10000
49,175,12,777,10000
49,176,12,777,10000
49,177,12,777,10000
49,178,12,777,10000
49,179,12,777,10000
49,180,12,777,10000
49,181,12,777,10000
49,182,12,777,10000
49,183,12,777,10000
49,184,12,777,10000
49,185,12,777,10000
49,186,12,777,10000
49,187,12,777,10000
49,188,12,777,10000
49,189,12,777,10000
49,190,12,777,10000
49,191,12,777,10000
49,192,12,777,10000
49,193,12,777,10000
49,194,12,777,10000
49,195,12,777,10000
49,196,12,777,10000
49,197,12,777,10000
49,198,12,777,10000
49,199,12,777,10000
49,200,12,777,10000
49,201,12,777,10000
5,156,12,1498,10000
5,157,12,1498,10000
5,158,12,1498,10000
5,159,12,1498,10000
5,160,12,1498,10000
5,161,12,1498,10000
5,162,12,1498,10000
5,163,12,1498,10000
5,164,12,1498,10000
5,165,12,1498,10000
5,166,12,1498,10000
5,167,12,1498,10000
5,168,12,1498,10000
5,169,12,1498,10000
5,170,12,1498,10000
5,171,12,1498,10000
5,172,12,1498,10000
5,173,12,1498,10000
5,174,12,1498,10000
5,175,12,1498,10000
5,176,12,1498,10000
5,177,12,1498,10000
5,178,12,1498,10000
5,179,12,1498,10000
5,180,12,1498,10000
5,181,12,1498,10000
5,182,12,1498,10000
5,183,12,1498,10000
5,184,12,1498,10000
5,185,12,1498,10000
5,186,12,1498,10000
5,187,12,1498,10000
5,188,12,1498,10000
5,189,12,1498,10000
5,190,12,1498,10000
5,191,12,1498,10000
5,192,12,1498,10000
5,193,12,1498,10000
5,194,12,1498,10000
5,195,12,1498,10000
5,196,12,1498,10000
5,197,12,1498,10000
5,198,12,1498,10000
5,199,12,1498,10000
5,200,12,1498,10000
5,201,12,1498,10000
51,158,12,3314,10000
7,162,12,1585,10000
57,183,12,0,10000
11,187,12,3648,10000
57,187,12,0,10000
57,191,12,0,10000
57,194,12,0,10000
57,195,12,0,10000
57,198,12,0,10000
53,199,12,0,10000
