RAWX,RAWY,CCDNR,REV1,REV2
582,519,1,1130,4110
582,520,1,1130,4110
582,521,1,1130,4110
582,522,1,1130,4110
582,523,1,1130,4110
582,524,1,1130,4110
582,525,1,1130,4110
582,526,1,1130,4110
582,527,1,1130,4110
582,528,1,1130,4110
582,529,1,1130,4110
582,530,1,1130,4110
582,531,1,1130,4110
582,532,1,1130,4110
582,533,1,1130,4110
582,534,1,1130,4110
582,535,1,1130,4110
582,536,1,1130,4110
582,537,1,1130,4110
582,538,1,1130,4110
582,539,1,1130,4110
582,540,1,1130,4110
582,541,1,1130,4110
582,542,1,1130,4110
582,543,1,1130,4110
582,544,1,1130,4110
582,545,1,1130,4110
582,546,1,1130,4110
582,547,1,1130,4110
582,548,1,1130,4110
582,549,1,1130,4110
582,550,1,1130,4110
582,551,1,1130,4110
582,552,1,1130,4110
582,553,1,1130,4110
582,554,1,1130,4110
582,555,1,1130,4110
582,556,1,1130,4110
582,557,1,1130,4110
582,558,1,1130,4110
582,559,1,1130,4110
582,560,1,1130,4110
582,561,1,1130,4110
582,562,1,1130,4110
582,563,1,1130,4110
582,564,1,1130,4110
582,565,1,1130,4110
582,566,1,1130,4110
582,567,1,1130,4110
582,568,1,1130,4110
582,569,1,1130,4110
582,570,1,1130,4110
582,571,1,1130,4110
582,572,1,1130,4110
582,573,1,1130,4110
582,574,1,1130,4110
582,575,1,1130,4110
582,576,1,1130,4110
582,577,1,1130,4110
582,578,1,1130,4110
582,579,1,1130,4110
582,580,1,1130,4110
582,581,1,1130,4110
582,582,1,1130,4110
582,583,1,1130,4110
582,584,1,1130,4110
582,585,1,1130,4110
582,586,1,1130,4110
582,587,1,1130,4110
582,588,1,1130,4110
582,589,1,1130,4110
582,590,1,1130,4110
582,591,1,1130,4110
582,592,1,1130,4110
582,593,1,1130,4110
582,594,1,1130,4110
582,595,1,1130,4110
582,596,1,1130,4110
582,597,1,1130,4110
582,598,1,1130,4110
582,599,1,1130,4110
583,405,1,1130,4110
583,406,1,1130,4110
583,407,1,1130,4110
583,408,1,1130,4110
583,409,1,1130,4110
583,410,1,1130,4110
583,411,1,1130,4110
583,412,1,1130,4110
583,413,1,1130,4110
583,414,1,1130,4110
583,415,1,1130,4110
583,416,1,1130,4110
583,417,1,1130,4110
583,418,1,1130,4110
583,419,1,1130,4110
583,420,1,1130,4110
583,421,1,1130,4110
583,422,1,1130,4110
583,423,1,1130,4110
583,424,1,1130,4110
583,425,1,1130,4110
583,426,1,1130,4110
583,427,1,1130,4110
583,428,1,1130,4110
583,429,1,1130,4110
583,430,1,1130,4110
583,431,1,1130,4110
583,432,1,1130,4110
583,433,1,1130,4110
583,434,1,1130,4110
583,435,1,1130,4110
583,436,1,1130,4110
583,437,1,1130,4110
583,438,1,1130,4110
583,439,1,1130,4110
583,440,1,1130,4110
583,441,1,1130,4110
583,442,1,1130,4110
583,443,1,1130,4110
583,444,1,1130,4110
583,445,1,1130,4110
583,446,1,1130,4110
583,447,1,1130,4110
583,448,1,1130,4110
583,449,1,1130,4110
583,450,1,1130,4110
583,451,1,1130,4110
583,452,1,1130,4110
583,453,1,1130,4110
583,454,1,1130,4110
583,455,1,1130,4110
583,456,1,1130,4110
583,457,1,1130,4110
583,458,1,1130,4110
583,459,1,1130,4110
583,460,1,1130,4110
583,461,1,1130,4110
583,462,1,1130,4110
583,463,1,1130,4110
583,464,1,1130,4110
583,465,1,1130,4110
583,466,1,1130,4110
583,467,1,1130,4110
583,468,1,1130,4110
583,469,1,1130,4110
583,470,1,1130,4110
583,471,1,1130,4110
583,472,1,1130,4110
583,473,1,1130,4110
583,474,1,1130,4110
583,475,1,1130,4110
583,476,1,1130,4110
583,477,1,1130,4110
583,478,1,1130,4110
583,479,1,1130,4110
583,480,1,1130,4110
583,481,1,1130,4110
583,482,1,1130,4110
583,483,1,1130,4110
583,484,1,1130,4110
583,485,1,1130,4110
583,486,1,1130,4110
583,487,1,1130,4110
583,488,1,1130,4110
583,489,1,1130,4110
583,490,1,1130,4110
583,491,1,1130,4110
583,492,1,1130,4110
583,493,1,1130,4110
583,494,1,1130,4110
583,495,1,1130,4110
583,496,1,1130,4110
583,497,1,1130,4110
583,498,1,1130,4110
583,499,1,1130,4110
583,500,1,1130,4110
583,501,1,1130,4110
583,502,1,1130,4110
583,503,1,1130,4110
583,504,1,1130,4110
583,505,1,1130,4110
583,506,1,1130,4110
583,507,1,1130,4110
583,508,1,1130,4110
583,509,1,1130,4110
583,510,1,1130,4110
583,511,1,1130,4110
583,512,1,1130,4110
583,513,1,1130,4110
583,514,1,1130,4110
583,515,1,1130,4110
583,516,1,1130,4110
583,517,1,1130,4110
583,518,1,1130,4110
583,519,1,1130,4110
583,520,1,1130,4110
583,521,1,1130,4110
583,522,1,1130,4110
583,523,1,1130,4110
583,524,1,1130,4110
583,525,1,1130,4110
583,526,1,1130,4110
583,527,1,1130,4110
583,528,1,1130,4110
583,529,1,1130,4110
583,530,1,1130,4110
